Noun,A+N,F+N,all+N,O-Den,Bare Singular,Bare Plural,Non-Denumerators,a/an,number,digits,plural numeral,approximative,comparative,round numbers,imprecise quantifier,precise quantifier,non denumerating quantifier,measure,non quantificational,partitive,the,N/A,Celex_Countable,Celex_Uncountable,Noun Count,Plural Noun Percentage
stripling,0.444444444,0,0,0,0.462,0.038,0.555555556,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0.555555556,0,1,0,26,0.077
stripper,0.561702128,0.004255319,0,0.046808511,0.084,0.224,0.382978723,0.561702128,0.042553191,0,0,0,0,0,0,0.012765957,0,0,0.038297872,0,0.340425532,0,1,0,416,0.368
striptease,0.625,0,0,0.03125,0.241,0.074,0.34375,0.625,0,0.03125,0,0,0,0,0,0,0,0,0.03125,0,0.3125,0,1,1,65,0.062
striver,0.111111111,0,0,0.037037037,0.018,0.333,0.851851852,0.111111111,0,0,0,0,0,0,0,0.037037037,0,0,0.037037037,0,0.814814815,0,1,0,57,0.807
stroke,0.511702986,0.050443906,0,0.191686844,0.179,0.148,0.227602906,0.446731235,0.158595642,0.043987086,0,0.000403551,0.000403551,0.003631961,0.04519774,0.05811138,0.000403551,0.000403551,0.025423729,0,0.201372074,0.015334948,1,0,5577,0.29
stroll,0.105263158,0.157894737,0,0,0.097,0.524,0.578947368,0.105263158,0,0,0,0.052631579,0,0,0.105263158,0,0,0,0,0,0.578947368,0.157894737,1,0,107,0.72
stroller,0.427184466,0.01618123,0,0.022653722,0.032,0.268,0.533980583,0.42394822,0.01618123,0.006472492,0.003236246,0,0,0,0.012944984,0,0,0,0.012944984,0,0.521035599,0,1,0,603,0.333
strong-mindedness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
strongbox,0.4375,0,0,0,0,0,0.5625,0.4375,0,0,0,0,0,0,0,0,0,0,0.0625,0,0.5,0,1,0,21,0.095
stronghold,0.475073314,0.011730205,0,0.052785924,0.048,0.138,0.454545455,0.472140762,0.032258065,0,0,0,0,0,0.011730205,0.026392962,0,0,0.06744868,0,0.387096774,0.002932551,1,0,617,0.288
